User Story ID,User Story Description
US1,"As a new user, I want to sign up for a Netflix account so that I can access video content."
US2,"As a registered user, I want to log in to my account so that I can use Netflix’s services."
US3,"As a user, I want to recover my password so that I can regain access to my account."
US4,"As a viewer, I want to search for movies or series so that I can find the content I want to watch."
US5,"As a user, I want to play a video from the search results so that I can enjoy my chosen content."
US6,"As a parent, I want to set up parental controls so that I can restrict inappropriate content for my children."
US7,"As a frequent traveler, I want to download videos for offline viewing so that I can watch them without an internet connection."
US8,"As a binge-watcher, I want to enable autoplay for the next episode so that I can continue watching without interruptions."
US9,"As a user, I want to adjust playback settings (e.g., subtitles, video quality) so that I can customize my viewing experience."
US10,"As a returning viewer, I want to resume watching from where I left off so that I can continue my series seamlessly."
US11,"As a subscriber, I want to manage my subscription (upgrade/cancel) so that I can control my membership plan."
US12,"As a user, I want to view my watch history so that I can track previously viewed content."
US13,"As a user, I want to set reminders for upcoming releases so that I don’t miss new content."
US14,"As a parent, I want to monitor my child’s viewing history so that I can ensure age-appropriate content is being watched."
US15,"As an account holder, I want to delete my account so that I can permanently stop using the service."
